input,target
Calculate seventy five + ninety two,Calculate 75 + 92
What is twenty six divided by three?,Calculate 26 / 3
Calculate twelve - twenty six,Calculate 26 + 12
Sum of eighty seven and eighty nine please,Calculate 87 + 89
What is twelve minus five?,Calculate 12 - 5
Calculate ninety nine + ten,Calculate 99 + 10
Quotient of forty six and forty seven please,Calculate 46 / 47
Add five and fifteen,Calculate 5 + 15
Display eighty one times table,Calculate table of 81
I want the table of twenty one,Calculate table of 21
What is one hundred times ninety five?,Calculate 100 * 95
Calculate fifty three * eighty four,Calculate 53 + 84
How much is sixty eight less ten?,Calculate 68 - 10
Display thirty four times table,Calculate table of 34
Can you print the times table of thirty six?,Calculate table of 36
Quotient of seventy one and seventy one please,Calculate 71 / 71
How much is five over forty nine?,Calculate 5 / 49
How much is ninety eight less eighty two?,Calculate 98 - 82
What is eighty seven divided by one hundred?,Calculate 87 / 100
Add fifty one and sixty seven,Calculate 51 + 67
What is forty two divided by seventy?,Calculate 42 / 70
What is eighty five plus eighty one?,Calculate 85 + 81
Show me the multiplication of eighty nine and,Calculate table of 89
Calculate seventy two divided by ninety eight,Calculate 72 / 98
How much is thirty nine less thirty one?,Calculate 39 - 31
Write the times of seventy six,Calculate table of 76
Can you print the times table of sixty two?,Calculate table of 62
Multiply sixty seven and ninety nine,Calculate 67 * 99
Subtract eighty seven from thirty one,Calculate 31 - 87
Calculate thirty nine + sixty one,Calculate 39 + 61
Sum of twelve and thirty five please,Calculate 12 + 35
Calculate seventeen * eighty one,Calculate 17 + 81
How much is fifty eight over sixty one?,Calculate 58 / 61
Calculate one + seventy,Calculate 1 + 70
Table for seven,Calculate table of 7
Write the times of seventy six,Calculate table of 76
Give me the table of twenty six,Calculate table of 26
Multiply twenty five and seventy,Calculate 25 * 70
Sum of two and fifty one please,Calculate 2 + 51
Calculate fifty one * twelve,Calculate 51 + 12
Subtract seventy one from fourteen,Calculate 14 - 71
Calculate forty nine divided by thirty six,Calculate 49 / 36
Give me the sum of twenty nine and twenty four,Calculate 29 + 24
Calculate eighty nine divided by four,Calculate 89 / 4
I want the table of ninety,Calculate table of 90
Quotient of fifty one and twenty seven please,Calculate 51 / 27
Calculate eighty two divided by one hundred,Calculate 82 / 100
What is seventy times eighty nine?,Calculate 70 * 89
What is fifty nine divided by ninety nine?,Calculate 59 / 99
I want the table of twenty,Calculate table of 20
Calculate eighty + forty three,Calculate 80 + 43
Can you print the times table of twelve?,Calculate table of 12
What is thirty plus seventy three?,Calculate 30 + 73
Can you print the times table of seventy one?,Calculate table of 71
Table for seventy,Calculate table of 70
Calculate four divided by forty seven,Calculate 4 / 47
Write the times of twenty two,Calculate table of 22
What is eighteen times forty eight?,Calculate 18 * 48
Divide sixty one by thirty eight,Calculate 61 / 38
Give me the sum of seventy nine and twenty four,Calculate 79 + 24
Calculate ninety nine + seventy five,Calculate 99 + 75
Sum of forty one and twenty six please,Calculate 41 + 26
Quotient of thirty five and eighty one please,Calculate 35 / 81
Calculate eleven * seventy nine,Calculate 11 + 79
Sum of seventy seven and sixty nine please,Calculate 77 + 69
How much is fifty eight over sixty eight?,Calculate 58 / 68
Multiples of forty three please,Calculate table of 43
Calculate fifty eight + twenty five,Calculate 58 + 25
What is eighty eight times fifty three?,Calculate 88 * 53
Subtract twenty seven from twenty three,Calculate 23 - 27
Show me the multiplication of fifteen and,Calculate table of 15
What is twenty four plus sixty one?,Calculate 24 + 61
Calculate five divided by twenty six,Calculate 5 / 26
Give me the sum of eighty nine and forty,Calculate 89 + 40
What is thirty nine divided by ninety six?,Calculate 39 / 96
Subtract forty five from ninety eight,Calculate 98 - 45
Calculate fifteen / eight,Calculate 15 / 8
Divide fifteen by eighty seven,Calculate 15 / 87
Calculate twelve divided by six,Calculate 12 / 6
How much is seventy seven over ninety seven?,Calculate 77 / 97
What is ninety nine plus one?,Calculate 99 + 1
Calculate forty seven divided by twenty seven,Calculate 47 / 27
Write the times of fifty seven,Calculate table of 57
Quotient of eighty five and ninety six please,Calculate 85 / 96
I want the table of sixty six,Calculate table of 66
Show me the multiplication of eighty seven and,Calculate table of 87
Give me the sum of ninety nine and sixty two,Calculate 99 + 62
Calculate ninety two + seventy eight,Calculate 92 + 78
Subtract one hundred from seventy,Calculate 70 - 100
Generate table of twenty eight,Calculate table of 28
Calculate eighty four + seventy five,Calculate 84 + 75
Generate table of thirty two,Calculate table of 32
Display thirty eight times table,Calculate table of 38
Sum of twenty three and twenty two please,Calculate 23 + 22
What is sixty plus seven?,Calculate 60 + 7
Multiples of twenty seven please,Calculate table of 27
Can you print the times table of sixty three?,Calculate table of 63
Display forty two times table,Calculate table of 42
Multiples of fifty one please,Calculate table of 51
Generate table of twenty eight,Calculate table of 28
Can you print the times table of forty nine?,Calculate table of 49
Multiply forty nine and fifty two,Calculate 49 * 52
What is fifty nine minus ninety?,Calculate 59 - 90
Show me the multiplication of thirty one and,Calculate table of 31
Calculate fifty eight divided by twenty six,Calculate 58 / 26
What is twenty five divided by forty three?,Calculate 25 / 43
How much is nineteen less sixty?,Calculate 19 - 60
What is ninety five divided by thirty six?,Calculate 95 / 36
What is nine plus sixty eight?,Calculate 9 + 68
Can you print the times table of nine?,Calculate table of 9
Can you print the times table of ninety one?,Calculate table of 91
Give me the sum of two and seventy two,Calculate 2 + 72
Table for forty four,Calculate table of 44
Divide ninety six by eighty two,Calculate 96 / 82
Give me the table of one hundred,Calculate table of 100
Show me the multiplication of fifteen and,Calculate table of 15
How much is forty eight over forty eight?,Calculate 48 / 48
Quotient of twenty five and forty one please,Calculate 25 / 41
Sum of ninety six and thirty one please,Calculate 96 + 31
What is eighty seven times ninety four?,Calculate 87 * 94
I want the table of twenty one,Calculate table of 21
Multiples of fifty one please,Calculate table of 51
Display seventy seven times table,Calculate table of 77
Calculate sixty seven / eighty,Calculate 67 / 80
I want the table of fifty three,Calculate table of 53
How much is sixty four less eighteen?,Calculate 64 - 18
What is ninety six times seventy two?,Calculate 96 * 72
Quotient of thirty eight and eighty seven please,Calculate 38 / 87
Write the times of fifty,Calculate table of 50
Show me the multiplication of eighty two and,Calculate table of 82
Find the difference between thirty five and thirty nine,Calculate 35 - 39
Can you print the times table of fifty one?,Calculate table of 51
Calculate fifty nine + seventy,Calculate 59 + 70
Display fifty times table,Calculate table of 50
What is sixty seven divided by ninety?,Calculate 67 / 90
Display one times table,Calculate table of 1
Display four times table,Calculate table of 4
Give me the sum of eight and seventy five,Calculate 8 + 75
Sum of twenty seven and thirty nine please,Calculate 27 + 39
Quotient of twenty six and thirty nine please,Calculate 26 / 39
Calculate seventy five + fifty four,Calculate 75 + 54
Calculate forty * twenty eight,Calculate 40 + 28
Give me the sum of twenty and fifteen,Calculate 20 + 15
Generate table of eighty two,Calculate table of 82
What is fifteen times sixty eight?,Calculate 15 * 68
Calculate twelve + ninety five,Calculate 12 + 95
Table for fifty two,Calculate table of 52
What is nineteen divided by seven?,Calculate 19 / 7
How much is two over seven?,Calculate 2 / 7
Can you print the times table of one?,Calculate table of 1
Give me the table of fifty eight,Calculate table of 58
Table for sixty nine,Calculate table of 69
Quotient of seventy seven and fifty seven please,Calculate 77 / 57
Subtract sixty nine from one,Calculate 1 - 69
Can you print the times table of seventy seven?,Calculate table of 77
Multiples of sixty eight please,Calculate table of 68
Give me the sum of one hundred and ninety five,Calculate 100 + 95
Quotient of three and thirteen please,Calculate 3 / 13
Calculate one divided by thirty one,Calculate 1 / 31
Multiply thirty two and eight,Calculate 32 * 8
How much is thirty four less sixty eight?,Calculate 34 - 68
Display fifty three times table,Calculate table of 53
Display ninety one times table,Calculate table of 91
Can you print the times table of sixty two?,Calculate table of 62
Calculate fifty two divided by thirty eight,Calculate 52 / 38
Display eighty times table,Calculate table of 80
Can you print the times table of two?,Calculate table of 2
Display thirty seven times table,Calculate table of 37
Calculate ninety one / nineteen,Calculate 91 / 19
What is five minus forty seven?,Calculate 5 - 47
Subtract seventy three from sixteen,Calculate 16 - 73
Find the difference between eighty and eighty one,Calculate 80 - 81
What is eighty eight minus eighty four?,Calculate 88 - 84
Add twenty four and ninety nine,Calculate 24 + 99
Find the difference between twenty one and seventy five,Calculate 21 - 75
Calculate seventy three / nine,Calculate 73 / 9
Calculate fifty five - seventy three,Calculate 73 + 55
Multiples of thirty one please,Calculate table of 31
Sum of six and fifty two please,Calculate 6 + 52
What is two plus seventy five?,Calculate 2 + 75
Quotient of fifty one and twenty please,Calculate 51 / 20
Sum of forty seven and seventy five please,Calculate 47 + 75
Write the times of eighty two,Calculate table of 82
What is seventy divided by five?,Calculate 70 / 5
What is sixty seven times fifty six?,Calculate 67 * 56
Quotient of ninety two and eighty eight please,Calculate 92 / 88
I want the table of fourteen,Calculate table of 14
Can you print the times table of forty two?,Calculate table of 42
What is ninety eight minus seventy four?,Calculate 98 - 74
Quotient of twenty six and eighty two please,Calculate 26 / 82
How much is sixty five over eighty four?,Calculate 65 / 84
Calculate forty four * fourteen,Calculate 44 + 14
Show me the multiplication of five and,Calculate table of 5
How much is sixty nine over eighty one?,Calculate 69 / 81
Show me the multiplication of seventy four and,Calculate table of 74
Give me the sum of twenty one and seventy nine,Calculate 21 + 79
Add fifty five and forty three,Calculate 55 + 43
Calculate sixty nine / twenty three,Calculate 69 / 23
Give me the table of twenty four,Calculate table of 24
Give me the sum of twenty nine and forty six,Calculate 29 + 46
Can you print the times table of sixteen?,Calculate table of 16
Show me the multiplication of fourteen and,Calculate table of 14
Show me the multiplication of ninety nine and,Calculate table of 99
