Input,Actual
convert 25 degrees Celsius to Fahrenheit,Convert 25°C to Fahrenheit using the standard formula and output only the numerical result rounded to two decimal places.
"find the smallest number in the following list: 12, 45, 7, 89, 32","Determine and output only the smallest number from the list 12, 45, 7, 89, 32."
what is the capital of Australia?,Identify the capital city of Australia and respond with only the city name.
write a short story about a time traveler,"Compose a short story (100-150 words) focusing on a time traveler’s journey, ensuring a coherent narrative with detailed descriptions."
summarize the plot of Romeo and Juliet,"Provide a brief summary (50-75 words) of the plot of Shakespeare’s Romeo and Juliet, concentrating on the central conflict and resolution."
create a class for a car in C++,"Write a C++ class called ""Car"" with attributes for make, model, and year. Include a constructor that initializes these attributes appropriately."
explain the concept of polymorphism in object-oriented programming,"Describe what polymorphism means in the context of object-oriented programming in clear and concise terms, focusing on its practical benefits."
list the first 10 even numbers,List the first 10 even numbers separated by commas.
convert 5 miles to kilometers,Convert 5 miles to kilometers using a standard conversion rate and output only the numerical result rounded to two decimal places.
find the fourth root of 16,Calculate the fourth root of 16 and output only the numerical result.
write the table of 2,"Output the multiplication table of 2 from 1 to 10 in this exact format, one per line: 2 x 1 = 2, 2 x 2 = 4, ..., 2 x 10 = 20. Do not format as a table or use Markdown."
calculate the area of a circle with radius 5,Compute the area using pi * r^2 (with pi approximated to 3.14159) and output only the numerical result rounded to two decimal places.
solve for x: 2x + 5 = 11,"Show step-by-step how to isolate x in the equation, then output the final numerical value."
what is the capital of France?,Identify and return only the name of the capital city.
"translate ""hello world"" to Spanish","Convert the phrase ""hello world"" into Spanish and output only the translated text."
write a short poem about autumn,"Compose a poem of 4-6 lines that includes imagery like falling leaves, changing colors, and crisp air."
summarize the plot of Hamlet,Deliver a 50-75 word summary capturing the main conflicts and events of Shakespeare’s Hamlet.
create a function to add two numbers in Python,Write a Python function named “add” that takes two numerical arguments and returns their sum. Include a brief docstring.
explain the concept of recursion,"Provide a clear, concise explanation of recursion in computer science, using simple language suitable for beginners."
list the first 10 prime numbers,Output the first 10 prime numbers separated by commas.
convert 100 USD to EUR,Convert 100 USD to Euros using an assumed realistic exchange rate and display only the numerical result rounded to two decimal places.
find the square root of 625,Calculate and output only the numerical square root of 625.
what is the boiling point of water in Celsius?,State the boiling point of water in degrees Celsius as a lone numeric value.
write a haiku about a cat,Compose a haiku (three lines following a 5-7-5 syllable structure) that captures the essence of a cat.
generate a random password,"Create a random 12-character password featuring uppercase letters, lowercase letters, numbers, and symbols."
"sort the following numbers in ascending order: 5, 2, 8, 1, 9","Rearrange the numbers 5, 2, 8, 1, 9 into ascending order and output the sorted list separated by commas."
calculate 15% of 200,Compute 15% of 200 and output only the resultant numerical value.
what is the population of Japan?,Return the approximate population of Japan as a singular numerical value.
write a function to reverse a string in JavaScript,Write a JavaScript function named “reverseString” that takes a string input and returns it reversed.
explain the difference between TCP and UDP,"Provide a succinct explanation highlighting the key differences between the TCP and UDP network protocols, focusing on reliability and speed."
list the planets in our solar system,Output a comma-separated list of the planets in order from closest to the sun.
convert 32 degrees Fahrenheit to Celsius,Convert 32°F to Celsius using the conversion formula and output just the resulting number rounded to two decimal places.
"find the largest number in the following list: 12, 45, 7, 89, 32",Identify and output only the largest number from the provided list.
